steamLink,title_en,title_zh,title_ja
https://store.steampowered.com/app/1631670/_/,倒轉方舟,倒轉方舟,倒轉方舟
https://store.steampowered.com/app/1425000/_/,無盡愛麗絲,無盡愛麗絲,無盡愛麗絲
https://store.steampowered.com/app/2957670/_/,THE TAG-ALONG OBSESSION,愿 紅衣小女孩,愿 紅衣小女孩
https://store.steampowered.com/app/2598800/___Psionic_Sentry__Infinite/,靈能哨衛 : 無限 Psionic Sentry : Infinite,靈能哨衛 : 無限 Psionic Sentry : Infinite,靈能哨衛 : 無限 Psionic Sentry : Infinite
https://store.steampowered.com/app/1144240/_/,MolaMolaAdventure,翻車魚冒險,マンボウの大冒険
https://store.steampowered.com/app/2692030/_/,Valkyrie Squad: Siege Breakers,女武神小隊：突破重圍,ワルキューレスクワッド：突破せよ
https://store.steampowered.com/app/1698870/_The_Honest_Elf/,Silver Axe - The Honest Elf,銀斧 The Honest Elf,銀斧 The Honest Elf
https://store.steampowered.com/app/400910/RabiRibi/,Rabi-Ribi,Rabi-Ribi,Rabi-Ribi
https://store.steampowered.com/app/2710380/_/,Sakura And The Airyvixen,緋櫻白狐,緋桜白狐−異世界大騒乱−
https://store.steampowered.com/app/985080/_Food_Girls/,食用系少女 Food Girls,食用系少女 Food Girls,食用系少女 Food Girls
https://store.steampowered.com/app/766280/_/,夜光,夜光,夜光
https://store.steampowered.com/app/1730140/LIGHT/,LIGHT: Black Cat & Amnesia Girl,LIGHT：黑色小貓與失憶少女,LIGHT：黒猫と記憶を失った少女
https://store.steampowered.com/app/1858450/_/,QUIT TODAY,即刻離職,速攻退職
https://store.steampowered.com/app/2184010/Star_Leaping_Story/,Star Leaping Story,星躍物語Star Leaping Story,スターリーピングストーリー
https://store.steampowered.com/app/2712570/_/,奇幻村莊模擬器,奇幻村莊模擬器,奇幻村莊模擬器
https://store.steampowered.com/app/1611350/_Sunny_Cafe/,Sunny Cafe,晴天咖啡館Sunny Cafe,晴天咖啡館Sunny Cafe
https://store.steampowered.com/app/2459550/_Emberward/,Emberward,餘燼守衛 Emberward,餘燼守衛 Emberward
https://store.steampowered.com/app/2797170/HSNU/,我愛師大附中HSNU,我愛師大附中HSNU,我愛師大附中HSNU
https://store.steampowered.com/app/2400640/_/,NanoApostle,奈米使徒計劃,ナノアポスル
https://store.steampowered.com/app/1860410/Vtuber/,Master of Vtuber,Vtuber大師,Vtuber大師
https://store.steampowered.com/app/2227860/_/,XenoWorld ~The Rondeau of Astra~,異境迷走,異境迷走
https://store.steampowered.com/app/2543030/Midnight_Ramen/,Midnight Ramen,Midnight Ramen 深夜拉麵,深夜のラーメン
https://store.steampowered.com/app/1610440/_/,Minds Beneath Us,沉沒意志,Minds Beneath Us
https://store.steampowered.com/app/2623430/Dracoslayer/,Dracoslayer,滅龍者,ドラコスレイヤー
https://store.steampowered.com/app/2299750/,Patchouli's Adventure In Doll's House,帕秋莉的人偶之家大冒險,パチュリーの人形の家大冒険
https://store.steampowered.com/app/618420/_/,【NekoGakuen】《MatthiolaReverieVerse:LostIsland》,【貓咪學園】《紫月詩篇：迷途孤島》,【NekoGakuen】Matthiola Reverie Verse
https://store.steampowered.com/app/1188460/,Gravity Escape,重力逃脫,重力脱出
https://store.steampowered.com/app/811070/__Conviction/,Conviction,眼中的世界 - Conviction - ,Conviction
https://store.steampowered.com/app/2321120/Voice_Love_on_Air/,Voice Love on Air,純愛聲放送,ボイスラブ オンエア
https://store.steampowered.com/app/1977070/_/,和平締造者：光輝王女,和平締造者：光輝王女,和平締造者：光輝王女
https://store.steampowered.com/app/751320,Echo,回音,回音
https://store.steampowered.com/app/799640/Dungeon_Munchies/,Dungeon Munchies,餐癮地城,餐癮地城
https://store.steampowered.com/app/1645780/_Grayscale_Memories/,Grayscale Memories,流光記憶之灰,流光記憶の灰 Grayscale Memories
https://store.steampowered.com/app/1302850/Tails_of_Trainspot/,Tails of Trainspot,島嶼鐵道局,島々鉄道局
https://store.steampowered.com/app/2230650/TEVI/,TEVI,TEVI,TEVI
https://store.steampowered.com/app/1487270/_/,Last Command,最後指令,ラストコマンド
https://store.steampowered.com/app/1668690,Alina of the Arena,鬥技場的阿莉娜,Alina of the Arena
https://store.steampowered.com/app/1826210/_/,RelicAdventure,遺跡大冒險,遺跡大冒険
https://store.steampowered.com/app/821560/_Behind_the_Screen/,Behind the Screen,螢幕判官,螢幕判官 Behind the Screen
https://store.steampowered.com/app/1229060/Dungeon_and_Puzzles/,Dungeon and Puzzles,地城謎蹤,ダンジョンとパズル
https://store.steampowered.com/app/2013040/,Wheat Fairy of Daya,守麥精靈黛芽,小麦精霊黛芽
https://store.steampowered.com/app/1434540/Zoeti/,Zoeti,星詠之詩,Zoeti
https://store.steampowered.com/app/1668690/Alina_of_the_Arena/,Alina of the Arena,鬥技場的阿利娜,Alina of the Arena
https://store.steampowered.com/app/1156900/Output_Pasture/,Output Pasture,輸出牧場,アウトプットパスチャー
https://store.steampowered.com/app/2786360/RACING/,LOLI RACING,蘿莉RACING,ロリRACING
https://store.steampowered.com/app/2286780/_/,Aeruta,亞路塔：狐狸狐途的麵包冒險,Aeruta アルタ
https://store.steampowered.com/app/3185400/,The Ultimate Gate,窮極之門,ザ・アルティメット・ゲート
https://store.steampowered.com/app/1289990/Alans_Automaton_Workshop/,Alan's Automaton Workshop,艾倫的自動機工坊,Alan's Automaton Workshop
https://store.steampowered.com/app/1335360/Chef_Chen/,Chef Chen,大廚老陳,料理長チン
https://store.steampowered.com/app/289060/The_Emerald_Tablet/,The Emerald Tablet,The Emerald Tablet,The Emerald Tablet
https://store.steampowered.com/app/987480/_Snowdreams_lost_in_winter/,Snowdreams -lost in winter-,花落冬陽,Snowdreams -lost in winter-
https://store.steampowered.com/app/818960/TAYAL/,TAYAL,塔亞人,タイアル
https://store.steampowered.com/app/2725220,Project Aphotic,Project Aphotic,Project Aphotic
