steamLink,title_en,title_zh,title_ja
https://store.steampowered.com/app/2325390/AirBoost/,AirBoost Airship Knight,AirBoost 天空機士,AirBoost エアシップの騎士
https://store.steampowered.com/app/2658230/_The_dream_of_Limbo/,夢遊邊境,夢遊邊境,夢遊邊境
https://store.steampowered.com/app/2951580/_/,節奏魔女 舞動的骷髏,節奏魔女 舞動的骷髏,節奏魔女 舞動的骷髏
https://store.steampowered.com/app/3090620/Arcade_Galaxy/,Arcade Galaxy,Arcade Galaxy,Arcade Galaxy
https://store.steampowered.com/app/3082000/_/,Path of Gear: Blacksmith's Legend,裝備之路: 鐵匠傳奇,装備の道：鍛冶師の伝説
https://store.steampowered.com/app/2067270/Herogue/,Herogue,Herogue,Herogue
https://store.steampowered.com/app/2660880/_/,Knight in the Maze,梅斯勒的騎士,迷宮の騎士
https://store.steampowered.com/app/3211560/_Die_Deep/,Die Deep,死深 Die Deep,死深 Die Deep
https://store.steampowered.com/app/2476690/ARIE/,ARIE：月詠,ARIE：月詠,ARIE：月詠
https://store.steampowered.com/app/3349900/CORING/,CORING,CORING 鏡地獵殺,CORING 鏡地狩り
https://store.steampowered.com/app/1274830/_/,Autopanic,自動混亂,自動混亂
https://store.steampowered.com/app/2195730/_PolkerAcademy/,PolkerAcademy,波克學院 PolkerAcademy,波克學院 PolkerAcademy
https://store.steampowered.com/app/2724040/_/,劍紙三國,劍紙三國,劍紙三國
https://store.steampowered.com/app/3109180/Bling_Bling_Goblin/,Bling Bling Goblin,Bling Bling Goblin,Bling Bling Goblin
https://store.steampowered.com/app/3074730/Spin__Jump/,Spin &Jump,Spin &Jump,Spin &Jump
https://store.steampowered.com/app/3015360/_/,柴柴甜點鋪,柴柴甜點鋪,柴柴甜點鋪
https://store.steampowered.com/app/1864830/_/,Emblem of Valor,英勇紋章,勇気の紋章
https://store.steampowered.com/app/2381320/_Artificial_Wings/,Artificial Wings,人造機械之翼,Artificial Wings
https://store.steampowered.com/app/2439560/Alices_World/,Alice's world,Alice's world,Alice's world
https://store.steampowered.com/app/2651290/,Urban Legend Hunters 2: Double,都市傳說冒險團2 ：分身,分身: 都市伝説チャンネル奇話
https://store.steampowered.com/app/2283820/,DRIFTED,DRIFTED,DRIFTED ドリフテッド
https://store.steampowered.com/app/2854070/_/,Conviction - The Glory Of Kraft -,眼中的世界 - 榮耀的卡夫特 - ,Conviction - The Glory Of Kraft -
https://store.steampowered.com/app/3024350/,Esper Agent,異能特務,エスパーエージェント
https://store.steampowered.com/app/3196150/Lami_A_Cup_of_Code__Coffee/,Lami: A Cup of Code & Coffee,拉米：程式與咖啡,ラミ：プログラム&コーヒー
https://store.steampowered.com/app/2323140/Ringash/,Ringash,Ringash,Ringash
https://store.steampowered.com/app/1965270/SUFFOCATE/,SUFFOCATE,窒愛SUFFOCATE,窒愛SUFFOCATE
https://store.steampowered.com/app/2789520/_/,Welcome to chirp convenience store!,歡迎光臨啾便利,鳥便利へようこそ！
https://store.steampowered.com/app/3202490/Anas_Farm/,Ana's Farm,安娜農場,アナの農場
https://store.steampowered.com/app/3437190/Always_With_You/,Always With You,與貓同行,猫と共に旅を
https://store.steampowered.com/app/3146610/_/,Spiritual Bond ~Breaking the curse, Intertwining fates~,靈緣 ~化謎解咒，緣影交織~,靈縁 ~呪いを解き、織りなす縁影~
https://store.steampowered.com/app/2609460/Phantasist/,Phantasist,Phantasist,Phantasist
https://store.steampowered.com/app/3158070/_/,Deadline Savior,死線勇者,締切ヒーロー
