title,link,image
AirBoost,https://store.steampowered.com/app/2325390?utm_source=github,image/AirBoost.jpg
裝備之路: 鐵匠傳奇,https://store.steampowered.com/app/3082000/_/,image/PathofGear.jpg
誰是中之人,https://store.steampowered.com/app/2871140/_/,image/TheRealFaceofaVTuber.jpg
亞路塔：狐狸狐途的麵包冒險,https://store.steampowered.com/app/2286780/_/,Aeruta.jpg
