steamLink,title_en,title_zh,title_ja,price,bargain_price,game_type
https://store.steampowered.com/app/3178030/UNION_SURVIVORS/,UNION SURVIVORS,UNION SURVIVORS,UNION SURVIVORS,,,
https://store.steampowered.com/app/2675270/,Blood Lily Loop,血百合輪迴,血の百合ループ,,,
https://store.steampowered.com/app/1977070/,Peacemaker: Glorious Princess,和平締造者：光輝王女,Peacemaker: Glorious Princess,,,
https://store.steampowered.com/app/2084180/,Case 03: True Cannibal Boy,案件０３：真・食人小男孩,ケース０３：真・人食いくん,,,
https://store.steampowered.com/app/2307400/The_Last_King/,The Last King,The Last King,The Last King,,,
https://store.steampowered.com/app/1802880/The_Devil_Within_Satgat/,The Devil Within: Satgat,笠鬼,The Devil Within: Satgat,,,
https://store.steampowered.com/app/2587210/SHUNYA/,SHUNYA,SHUNYA,SHUNYA,,,
https://store.steampowered.com/app/1188460/_/,Gravity Escape,重力逃脫,重力脱出,,,
https://store.steampowered.com/app/2658230/_The_dream_of_Limbo/?l=tchinese,夢遊邊境 The dream of Limbo,夢遊邊境 The dream of Limbo,夢遊邊境 The dream of Limbo,,,
https://store.steampowered.com/app/2959610/Cabin_Crew_Life_Simulator/,Cabin Crew Life Simulator,Cabin Crew Life Simulator,Cabin Crew Life Simulator,,,
https://store.steampowered.com/app/3430920,Roadside Egg Stand,Roadside Egg Stand,Roadside Egg Stand,,,
https://store.steampowered.com/app/2476350/Neko_Odyssey/,Neko Odyssey,美希與貓之島 -Neko Odyssey-,ミキとネコの島 -Neko Odyssey-,,,
https://store.steampowered.com/app/2524200/KILLA/,KILLA,KILLA,KILLA,,,
https://store.steampowered.com/app/2476690,ARIE: Moonprayer,ARIE：月詠,ARIE：月詠み,,,
https://store.steampowered.com/app/3299100/Null_Transit/,Null Transit,末航,Null Transit,,,
https://store.steampowered.com/app/3146120/Ayasa_Shadows_of_Silence/,Ayasa: Shadows of Silence,寂靜之國的波斯菊,Ayasa: Shadows of Silence,,,
https://store.steampowered.com/app/2010900/,Obscure Chronicle of Dynasty,後漢稽異錄,後漢・三国物語（ごかん・さんごく ものがたり）,,,
https://store.steampowered.com/app/2715730/,Obscure Chronicle of Dynastia,後漢姬異錄,後漢・三国姬物語,,,
https://store.steampowered.com/app/3426090/Cats_Around_Us_Black_Cat/,Cats Around Us: Black Cat,Cats Around Us: Black Cat,Cats Around Us: Black Cat,,,
https://store.steampowered.com/app/2925320/Cats_and_Seek_Tokyo/,Cats and Seek: Tokyo,Cats and Seek: Tokyo,Cats and Seek: Tokyo,,,
https://store.steampowered.com/app/2680440/MONOWAVE/,MONOWAVE,MONOWAVE,MONOWAVE,,,
https://store.steampowered.com/app/3109180/Bling_Bling_Goblin/?l=tchinese,Bling Bling Goblin,Bling Bling Goblin,Bling Bling Goblin,,,
https://store.steampowered.com/app/2603290/Block_The_Monster/,Block The Monster,Block The Monster,Block The Monster,,,
https://store.steampowered.com/app/2520660/Flow_of_Sound/,Flow of Sound,Flow of Sound,Flow of Sound,,,
https://store.steampowered.com/app/2251430/Original/,Original,Original,Original,,,
https://store.steampowered.com/app/3107550,Go!~Fighting for Lazy~,Go!~為了混吃等死而奮鬥~,Go!~為了混吃等死而奮鬥~,,,
https://store.steampowered.com/app/405680/Sentou_Gakuen_Revival/,Sentou Gakuen: Revival,Sentou Gakuen: Revival,Sentou Gakuen: Revival,,,
https://store.steampowered.com/app/2527300/Lily_Fantasia/,Lily Fantasia,莉莉幻想曲,リリーファンタジア,,,
https://store.steampowered.com/app/2543030/Midnight_Ramen/,Midnight Ramen,Midnight Ramen 深夜拉麵,深夜のラーメン,,,
https://store.steampowered.com/app/3158070/_/,Deadline Savior,死線勇者,締切ヒーロー,,,
https://store.steampowered.com/app/3151270/,One Turn Kill,One Turn Kill,One Turn Kill,,,
https://store.steampowered.com/app/2121450/Bangkok_Story_A_Stray_Dog/,Bangkok Story: A Stray Dog,Bangkok Story: A Stray Dog,Bangkok Story: A Stray Dog,,,
https://store.steampowered.com/app/2164930/Doll_Explorer/,Doll Explorer,Doll Explorer,ドールエクスプローラー,,,
https://store.steampowered.com/app/2340210/_/,Blade Abyss,刃獄,Blade Abyss,,,
https://store.steampowered.com/app/3245920/_Falling_for_Yaoguais/?l=tchinese,Falling for Yaoguais,妖怪不懂談戀愛 Falling for Yaoguais,妖怪不懂談戀愛 Falling for Yaoguais,,,
https://store.steampowered.com/app/2514650/Greed_and_Fear_and_the_Rest/,Greed and Fear and the Rest,Greed and Fear and the Rest,Greed and Fear and the Rest,,,
https://store.steampowered.com/app/2515530/Everlasting_Snooze/,Everlasting Snooze,Everlasting Snooze,Everlasting Snooze,,,
https://store.steampowered.com/app/2515560/Artificial_Instincts/,Artificial Instincts,Artificial Instincts,Artificial Instincts,,,
https://store.steampowered.com/app/1695000/Rainbow_Sea/,Rainbow Sea,落虹之海,虹の降る海,,,
https://store.steampowered.com/app/2460270/_/,戲假成真,戲假成真,戲假成真,,,
https://store.steampowered.com/app/2169800/_/,琳琳,琳琳,琳琳,,,
https://store.steampowered.com/app/2310730/_/,Legends,小紅娘大冒險,小紅娘大冒險,,,
https://store.steampowered.com/app/3434400/_FORGIVE_FOR_EVER/,FORGIVE FOR EVER,勿忘黯鵺 FORGIVE FOR EVER,勿忘黯鵺 FORGIVE FOR EVER,,,
https://store.steampowered.com/app/3376840/Glimmer/,Glimmer,Glimmer,Glimmer,,,
https://store.steampowered.com/app/3546070/,The EverFloating Island,永浮島,悠浮島,,,
 https://store.steampowered.com/app/2066230/  ,兔子愛麗絲夢遊仙境,兔子愛麗絲夢遊仙境,兔子愛麗絲夢遊仙境,,,
https://store.steampowered.com/app/1985620/,Ghost Girl Lasling (G-rated),幽靈少女萊斯靈 (全年齡版),幽霊少女レスリーン(健全向),,,
